principal_component,explained_variance_ratio,cumulative_explained_variance
PC425,3.827296095794886e-05,0.9980598179138332
PC426,3.807361528958128e-05,0.9980978915291229
PC427,3.7596903319307556e-05,0.9981354884324422
PC428,3.7366106545194794e-05,0.9981728545389873
PC429,3.706209666733517e-05,0.9982099166356546
PC430,3.6801119014864406e-05,0.9982467177546694
PC431,3.662757082867823e-05,0.9982833453254981
PC432,3.654639911054831e-05,0.9983198917246087
PC433,3.5996957274215977e-05,0.9983558886818829
PC434,3.587726345391693e-05,0.9983917659453367
PC435,3.504521374689642e-05,0.9984268111590836
PC436,3.4783984317879736e-05,0.9984615951434015
PC437,3.4337485017580535e-05,0.9984959326284191
PC438,3.390796222198177e-05,0.9985298405906411
PC439,3.346333558856902e-05,0.9985633039262297
PC440,3.327493055821833e-05,0.998596578856788
PC441,3.311541817769479e-05,0.9986296942749657
PC442,3.287839910627473e-05,0.998662572674072
PC443,3.280327344766855e-05,0.9986953759475197
PC444,3.250333155318084e-05,0.9987278792790728
PC445,3.225876969079017e-05,0.9987601380487636
PC446,3.18613325516437e-05,0.9987919993813152
PC447,3.177966789593951e-05,0.9988237790492112
PC448,3.103876737073497e-05,0.9988548178165819
PC449,3.0623136836387586e-05,0.9988854409534184
PC450,3.024598567785495e-05,0.9989156869390962
PC451,3.013642838773936e-05,0.9989458233674839
PC452,2.998422484825211e-05,0.9989758075923322
PC453,2.989732446698633e-05,0.9990057049167992
PC454,2.9128836537358505e-05,0.9990348337533366
PC455,2.9013716462312622e-05,0.9990638474697989
PC456,2.885838631614964e-05,0.9990927058561151
PC457,2.8497268518598217e-05,0.9991212031246337
PC458,2.8299225887585436e-05,0.9991495023505212
PC459,2.7813831752752427e-05,0.999177316182274
PC460,2.7534413917427197e-05,0.9992048505961915
PC461,2.7341505386293712e-05,0.9992321921015778
PC462,2.6905942395856407e-05,0.9992590980439736
PC463,2.6824264158974872e-05,0.9992859223081326
PC464,2.6651028709695224e-05,0.9993125733368423
PC465,2.636793379758886e-05,0.9993389412706399
PC466,2.6168526000795916e-05,0.9993651097966407
PC467,2.602976226012769e-05,0.9993911395589009
PC468,2.5809716378933943e-05,0.9994169492752798
PC469,2.548748642779604e-05,0.9994424367617076
PC470,2.4195347896802964e-05,0.9994666321096044
PC471,2.349998751642694e-05,0.9994901320971208
PC472,2.293028425989993e-05,0.9995130623813807
PC473,2.252579350307616e-05,0.9995355881748837
PC474,2.2400890976717893e-05,0.9995579890658605
PC475,2.2140165199728254e-05,0.9995801292310602
PC476,2.1880856357773587e-05,0.999602010087418
PC477,2.169100308819941e-05,0.9996237010905062
PC478,2.1445437594135975e-05,0.9996451465281003
PC479,2.136765336952176e-05,0.9996665141814699
PC480,2.126112297987278e-05,0.9996877753044497
PC481,2.1219712248423304e-05,0.9997089950166982
PC482,2.076192064468217e-05,0.9997297569373429
PC483,2.06915957461769e-05,0.999750448533089
PC484,2.0144923060678903e-05,0.9997705934561497
PC485,2.0040579638749184e-05,0.9997906340357885
