transformed_feature,l1_coefficient,absolute_coefficient,selected_by_l1,source_feature,association_direction
categorical__brand_clean_first_ariston,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_asel,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_asus,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_atlant,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_baden,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_beko,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_bosch,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_bq,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_braun,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_brw,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_bts,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_canon,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_canyon,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_carfashion,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_casio,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_centek,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_chayka,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_cordiant,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_crown,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_dauscher,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
